,CIF filename,fitness
688,buwgac13_P1,4.770048141479492
689,buwgac14_P1,4.770461559295654
690,buwgac15_P1,4.776676654815674
691,buwgac16_P1,4.771141529083252
692,buwgac17_P1,4.767227649688721
693,buwgac18_P1,4.772459506988525
694,buwgac19_P1,4.768142223358154
695,buwgac20_P1,4.774771213531494
696,buwgac21_P1,4.771322250366211
697,buwgac22_P1,4.771089553833008
698,buwgac23_P1,4.772706508636475
699,buwgac24_P1,4.774661540985107
700,buwgeg_P1,4.800638198852539
701,buwluc_P1_charged_H,
702,buwmaj_P1_charged_H,
703,buwmir_P1_charged,
704,buxnoz_P1,4.822680473327637
705,buxqix_P1,4.790811538696289
706,buxtiz_P1_charged,
707,buydac_P1,4.803750991821289
708,buydeg_P1,4.8188090324401855
709,buynal_P1_charged,
710,cabjex_P1,4.781262397766113
711,cabjoh_P1,4.832218170166016
712,cabnus_P1,4.7832865715026855
713,cabpee_P1,4.777871131896973
714,cabqeb_P1,
715,cacbug_P1_charged,
716,cackez_P1,4.769478797912598
717,cadqab_P1,4.821742057800293
718,cadyoz_P1,4.816364288330078
719,cadyuf_P1,4.824908256530762
720,cadzit_P1,
721,cafrux_P1_charged,4.8038811683654785
722,cagsag_P1,4.827454090118408
723,cajhon_P1,4.759100914001465
724,cajqel_P1,
725,cajvug_P1,4.823517799377441
726,cajwan_P1_charged,
727,cakxet_P1_H,4.726925373077393
728,cakxix_P1_H,4.737460136413574
729,cakxod_P1_H,4.721436023712158
730,cakxuj_P1_H,4.723912715911865
731,cakyaq_P1_H,4.721795082092285
732,cakyeu_P1_H,4.723956108093262
733,cakyiy_P1_H,4.722820281982422
734,canrug_P1,
735,canyib_P1,4.843750476837158
736,caqcaz_P1_charged_H,
737,caqhou_P1_H,4.762238025665283
738,caqkaj01_P1_H,
739,caqvoi15_P1,4.805859088897705
740,caqvoi16_P1,4.804640769958496
741,caqvoi17_P1,4.807765960693359
742,caqvoi18_P1,4.805342674255371
743,caqvoi19_P1,4.803818225860596
744,caqvoi20_P1,4.807732105255127
745,caqvoi21_P1,4.803625106811523
746,caqvoi22_P1,4.805299758911133
747,caqvoi23_P1,4.811315536499023
748,caqvoi24_P1,4.803735733032227
749,caqvoi25_P1,4.810218811035156
750,caqvoi26_P1,4.809603691101074
751,caqvoi27_P1,4.813704967498779
752,caqvoi28_P1,4.807732105255127
753,carfej_P1_charged,4.7992939949035645
754,carfot_P1_charged_H,
755,cargag_P1,
756,cargua_P1,
757,carjen_P1_H,
758,catdeh_P1,
759,catdil_P1,
760,cavfen_P1,4.7948408126831055
761,cavfen01_P1_H,4.789634704589844
762,cavfox_P1,
763,cavgak_P1,4.817347049713135
764,cavmiw_P1,4.876538276672363
